entity_id,state,last_changed
sensor.co2_mh_z19_co2_value,1418,2025-02-21T01:41:46.219Z
sensor.co2_mh_z19_co2_value,1461,2025-02-21T01:42:46.221Z
sensor.co2_mh_z19_co2_value,1448,2025-02-21T01:43:46.221Z
sensor.co2_mh_z19_co2_value,1423,2025-02-21T01:44:46.218Z
sensor.co2_mh_z19_co2_value,1445,2025-02-21T01:45:46.217Z
sensor.co2_mh_z19_co2_value,1451,2025-02-21T01:46:46.225Z
sensor.co2_mh_z19_co2_value,1435,2025-02-21T01:47:46.226Z
sensor.co2_mh_z19_co2_value,1421,2025-02-21T01:48:46.215Z
sensor.co2_mh_z19_co2_value,1417,2025-02-21T01:49:46.218Z
sensor.co2_mh_z19_co2_value,1411,2025-02-21T01:50:46.226Z
sensor.co2_mh_z19_co2_value,1405,2025-02-21T01:51:46.219Z
sensor.co2_mh_z19_co2_value,1430,2025-02-21T01:52:46.229Z
sensor.co2_mh_z19_co2_value,1426,2025-02-21T01:53:46.221Z
sensor.co2_mh_z19_co2_value,1404,2025-02-21T01:54:46.219Z
sensor.co2_mh_z19_co2_value,1409,2025-02-21T01:55:46.225Z
sensor.co2_mh_z19_co2_value,1412,2025-02-21T01:56:46.220Z
sensor.co2_mh_z19_co2_value,1408,2025-02-21T01:57:46.220Z
sensor.co2_mh_z19_co2_value,1390,2025-02-21T01:58:46.220Z
sensor.co2_mh_z19_co2_value,1387,2025-02-21T01:59:46.232Z
sensor.co2_mh_z19_co2_value,1359,2025-02-21T02:00:46.222Z
sensor.co2_mh_z19_co2_value,1356,2025-02-21T02:01:46.224Z
sensor.co2_mh_z19_co2_value,1341,2025-02-21T02:02:46.323Z
sensor.co2_mh_z19_co2_value,1336,2025-02-21T02:03:46.222Z
sensor.co2_mh_z19_co2_value,1351,2025-02-21T02:04:46.222Z
sensor.co2_mh_z19_co2_value,1344,2025-02-21T02:05:46.297Z
sensor.co2_mh_z19_co2_value,1333,2025-02-21T02:06:46.224Z
sensor.co2_mh_z19_co2_value,1334,2025-02-21T02:07:46.224Z
sensor.co2_mh_z19_co2_value,1340,2025-02-21T02:08:46.222Z
sensor.co2_mh_z19_co2_value,1324,2025-02-21T02:09:46.227Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T02:10:46.224Z
sensor.co2_mh_z19_co2_value,1334,2025-02-21T02:11:46.226Z
sensor.co2_mh_z19_co2_value,1345,2025-02-21T02:12:46.231Z
sensor.co2_mh_z19_co2_value,1351,2025-02-21T02:13:46.224Z
sensor.co2_mh_z19_co2_value,1355,2025-02-21T02:14:46.236Z
sensor.co2_mh_z19_co2_value,1356,2025-02-21T02:15:46.224Z
sensor.co2_mh_z19_co2_value,1335,2025-02-21T02:16:46.246Z
sensor.co2_mh_z19_co2_value,1314,2025-02-21T02:17:46.231Z
sensor.co2_mh_z19_co2_value,1328,2025-02-21T02:18:46.232Z
sensor.co2_mh_z19_co2_value,1324,2025-02-21T02:19:46.233Z
sensor.co2_mh_z19_co2_value,1310,2025-02-21T02:20:46.233Z
sensor.co2_mh_z19_co2_value,1343,2025-02-21T02:21:46.231Z
sensor.co2_mh_z19_co2_value,1339,2025-02-21T02:22:46.228Z
sensor.co2_mh_z19_co2_value,1338,2025-02-21T02:23:46.232Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T02:24:46.229Z
sensor.co2_mh_z19_co2_value,1353,2025-02-21T02:25:46.232Z
sensor.co2_mh_z19_co2_value,1343,2025-02-21T02:26:46.236Z
sensor.co2_mh_z19_co2_value,1344,2025-02-21T02:27:46.230Z
sensor.co2_mh_z19_co2_value,1330,2025-02-21T02:28:46.226Z
sensor.co2_mh_z19_co2_value,1338,2025-02-21T02:29:46.238Z
sensor.co2_mh_z19_co2_value,1332,2025-02-21T02:30:46.229Z
sensor.co2_mh_z19_co2_value,1316,2025-02-21T02:31:46.235Z
sensor.co2_mh_z19_co2_value,1341,2025-02-21T02:32:46.229Z
sensor.co2_mh_z19_co2_value,1328,2025-02-21T02:33:46.231Z
sensor.co2_mh_z19_co2_value,1336,2025-02-21T02:34:46.227Z
sensor.co2_mh_z19_co2_value,1347,2025-02-21T02:35:46.229Z
sensor.co2_mh_z19_co2_value,1310,2025-02-21T02:36:46.252Z
sensor.co2_mh_z19_co2_value,1314,2025-02-21T02:37:46.233Z
sensor.co2_mh_z19_co2_value,1317,2025-02-21T02:38:46.231Z
sensor.co2_mh_z19_co2_value,1326,2025-02-21T02:39:46.232Z
sensor.co2_mh_z19_co2_value,1323,2025-02-21T02:40:46.231Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T02:41:46.233Z
sensor.co2_mh_z19_co2_value,1301,2025-02-21T02:43:46.238Z
sensor.co2_mh_z19_co2_value,1294,2025-02-21T02:44:46.234Z
sensor.co2_mh_z19_co2_value,1309,2025-02-21T02:45:46.242Z
sensor.co2_mh_z19_co2_value,1328,2025-02-21T02:46:46.234Z
sensor.co2_mh_z19_co2_value,1340,2025-02-21T02:47:46.240Z
sensor.co2_mh_z19_co2_value,1327,2025-02-21T02:48:46.236Z
sensor.co2_mh_z19_co2_value,1324,2025-02-21T02:49:46.236Z
sensor.co2_mh_z19_co2_value,1301,2025-02-21T02:50:46.234Z
sensor.co2_mh_z19_co2_value,1292,2025-02-21T02:51:46.247Z
sensor.co2_mh_z19_co2_value,1320,2025-02-21T02:52:46.240Z
sensor.co2_mh_z19_co2_value,1334,2025-02-21T02:53:46.235Z
sensor.co2_mh_z19_co2_value,1319,2025-02-21T02:54:46.234Z
sensor.co2_mh_z19_co2_value,1313,2025-02-21T02:55:46.239Z
sensor.co2_mh_z19_co2_value,1317,2025-02-21T02:56:46.281Z
sensor.co2_mh_z19_co2_value,1287,2025-02-21T02:57:46.242Z
sensor.co2_mh_z19_co2_value,1301,2025-02-21T02:58:46.294Z
sensor.co2_mh_z19_co2_value,1323,2025-02-21T02:59:46.235Z
sensor.co2_mh_z19_co2_value,1288,2025-02-21T03:00:46.237Z
sensor.co2_mh_z19_co2_value,1301,2025-02-21T03:01:46.240Z
sensor.co2_mh_z19_co2_value,1324,2025-02-21T03:02:46.246Z
sensor.co2_mh_z19_co2_value,1322,2025-02-21T03:03:46.237Z
sensor.co2_mh_z19_co2_value,1317,2025-02-21T03:04:46.243Z
sensor.co2_mh_z19_co2_value,1323,2025-02-21T03:05:46.248Z
sensor.co2_mh_z19_co2_value,1321,2025-02-21T03:06:46.237Z
sensor.co2_mh_z19_co2_value,1303,2025-02-21T03:07:46.253Z
sensor.co2_mh_z19_co2_value,1308,2025-02-21T03:08:46.240Z
sensor.co2_mh_z19_co2_value,1317,2025-02-21T03:09:46.240Z
sensor.co2_mh_z19_co2_value,1348,2025-02-21T03:10:46.241Z
sensor.co2_mh_z19_co2_value,1380,2025-02-21T03:11:46.238Z
sensor.co2_mh_z19_co2_value,1362,2025-02-21T03:12:46.245Z
sensor.co2_mh_z19_co2_value,1363,2025-02-21T03:13:46.244Z
sensor.co2_mh_z19_co2_value,1357,2025-02-21T03:14:46.240Z
sensor.co2_mh_z19_co2_value,1391,2025-02-21T03:15:46.239Z
sensor.co2_mh_z19_co2_value,1402,2025-02-21T03:16:46.240Z
sensor.co2_mh_z19_co2_value,1377,2025-02-21T03:17:46.248Z
sensor.co2_mh_z19_co2_value,1385,2025-02-21T03:18:46.248Z
sensor.co2_mh_z19_co2_value,1401,2025-02-21T03:19:46.246Z
sensor.co2_mh_z19_co2_value,1406,2025-02-21T03:20:46.243Z
sensor.co2_mh_z19_co2_value,1419,2025-02-21T03:21:46.246Z
sensor.co2_mh_z19_co2_value,1433,2025-02-21T03:22:46.240Z
sensor.co2_mh_z19_co2_value,1429,2025-02-21T03:23:46.266Z
sensor.co2_mh_z19_co2_value,1437,2025-02-21T03:24:46.243Z
sensor.co2_mh_z19_co2_value,1447,2025-02-21T03:25:46.245Z
sensor.co2_mh_z19_co2_value,1435,2025-02-21T03:26:46.254Z
sensor.co2_mh_z19_co2_value,1432,2025-02-21T03:27:46.251Z
sensor.co2_mh_z19_co2_value,1429,2025-02-21T03:28:46.258Z
sensor.co2_mh_z19_co2_value,1427,2025-02-21T03:29:46.253Z
sensor.co2_mh_z19_co2_value,1387,2025-02-21T03:30:46.243Z
sensor.co2_mh_z19_co2_value,1361,2025-02-21T03:31:46.247Z
sensor.co2_mh_z19_co2_value,1360,2025-02-21T03:32:46.243Z
sensor.co2_mh_z19_co2_value,1342,2025-02-21T03:33:46.246Z
sensor.co2_mh_z19_co2_value,1308,2025-02-21T03:34:46.254Z
sensor.co2_mh_z19_co2_value,1291,2025-02-21T03:35:46.258Z
sensor.co2_mh_z19_co2_value,1294,2025-02-21T03:36:46.250Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T03:37:46.270Z
sensor.co2_mh_z19_co2_value,1321,2025-02-21T03:38:46.251Z
sensor.co2_mh_z19_co2_value,1330,2025-02-21T03:39:46.247Z
sensor.co2_mh_z19_co2_value,1315,2025-02-21T03:40:46.249Z
sensor.co2_mh_z19_co2_value,1289,2025-02-21T03:41:46.250Z
sensor.co2_mh_z19_co2_value,1296,2025-02-21T03:42:46.253Z
sensor.co2_mh_z19_co2_value,1314,2025-02-21T03:43:46.249Z
sensor.co2_mh_z19_co2_value,1306,2025-02-21T03:44:46.255Z
sensor.co2_mh_z19_co2_value,1308,2025-02-21T03:45:46.261Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T03:46:46.255Z
sensor.co2_mh_z19_co2_value,1312,2025-02-21T03:47:46.251Z
sensor.co2_mh_z19_co2_value,1314,2025-02-21T03:48:46.249Z
sensor.co2_mh_z19_co2_value,1327,2025-02-21T03:49:46.249Z
sensor.co2_mh_z19_co2_value,1337,2025-02-21T03:50:46.256Z
sensor.co2_mh_z19_co2_value,1355,2025-02-21T03:51:46.253Z
sensor.co2_mh_z19_co2_value,1315,2025-02-21T03:52:46.264Z
sensor.co2_mh_z19_co2_value,1329,2025-02-21T03:53:46.251Z
sensor.co2_mh_z19_co2_value,1331,2025-02-21T03:54:46.251Z
sensor.co2_mh_z19_co2_value,1355,2025-02-21T03:55:46.252Z
sensor.co2_mh_z19_co2_value,1373,2025-02-21T03:56:46.255Z
sensor.co2_mh_z19_co2_value,1333,2025-02-21T03:57:46.253Z
sensor.co2_mh_z19_co2_value,1326,2025-02-21T03:58:46.257Z
sensor.co2_mh_z19_co2_value,1336,2025-02-21T03:59:46.264Z
sensor.co2_mh_z19_co2_value,1332,2025-02-21T04:00:46.258Z
sensor.co2_mh_z19_co2_value,1330,2025-02-21T04:01:46.255Z
sensor.co2_mh_z19_co2_value,1327,2025-02-21T04:02:46.257Z
sensor.co2_mh_z19_co2_value,1338,2025-02-21T04:03:46.252Z
sensor.co2_mh_z19_co2_value,1325,2025-02-21T04:04:46.253Z
sensor.co2_mh_z19_co2_value,1332,2025-02-21T04:05:46.257Z
sensor.co2_mh_z19_co2_value,1313,2025-02-21T04:06:46.259Z
sensor.co2_mh_z19_co2_value,1314,2025-02-21T04:07:46.262Z
sensor.co2_mh_z19_co2_value,1319,2025-02-21T04:08:46.258Z
sensor.co2_mh_z19_co2_value,1317,2025-02-21T04:09:46.265Z
sensor.co2_mh_z19_co2_value,1301,2025-02-21T04:10:46.256Z
sensor.co2_mh_z19_co2_value,1305,2025-02-21T04:11:46.264Z
sensor.co2_mh_z19_co2_value,1281,2025-02-21T04:12:46.260Z
sensor.co2_mh_z19_co2_value,1269,2025-02-21T04:13:46.295Z
sensor.co2_mh_z19_co2_value,1266,2025-02-21T04:14:46.257Z
